rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
129	L3MBTL2	l(3)mbt-like 2 (Drosophila)	613109	5	0	2	1	2	0	0.0032	0.47
130	PSMC3	proteasome (prosome, macropain) 26S subunit, ATPase, 3	410901	4	0	0	1	1	2	0.0032	0.47
131	BDKRB1	bradykinin receptor B1	321393	4	1	0	2	1	0	0.0033	0.47
132	CRTAC1	cartilage acidic protein 1	567370	5	0	1	1	2	1	0.0033	0.47
133	SLURP1	secreted LY6/PLAUR domain containing 1	13093	1	0	0	0	0	1	0.0033	0.47
134	MC2R	melanocortin 2 receptor (adrenocorticotropic hormone)	279868	3	2	0	0	1	0	0.0034	0.47
135	KIR3DL3	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3	254882	3	1	0	0	2	0	0.0034	0.47
136	PRPH2	peripherin 2 (retinal degeneration, slow)	339199	4	1	0	1	2	0	0.0034	0.47
137	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	422147	4	4	0	0	0	0	0.0034	0.47
138	CLEC4F	C-type lectin domain family 4, member F	597059	5	0	0	2	3	0	0.0035	0.47
139	TMPRSS15		1023444	6	1	0	4	1	0	0.0035	0.47
140	MUC5B	mucin 5B, oligomeric mucus/gel-forming	1353994	8	1	2	1	3	1	0.0035	0.47
141	HOXD10	homeobox D10	295027	3	0	2	0	1	0	0.0036	0.49
142	ADSSL1	adenylosuccinate synthase like 1	303786	3	0	0	0	3	0	0.0037	0.49
143	ZMAT1	zinc finger, matrin type 1	602948	3	1	2	0	0	0	0.0037	0.49
144	PAX3	paired box 3	498367	5	1	0	2	2	0	0.0037	0.49
145	CACNG6	calcium channel, voltage-dependent, gamma subunit 6	151359	2	0	0	0	0	2	0.0038	0.49
146	SNPH	syntaphilin	255874	3	0	0	1	0	2	0.0038	0.49
147	CRB1	crumbs homolog 1 (Drosophila)	1420562	7	2	1	3	1	0	0.0038	0.49
148	ZNF238	zinc finger protein 238	487613	4	2	0	0	1	1	0.0038	0.49
149	CCDC87	coiled-coil domain containing 87	701076	4	0	0	0	1	3	0.0040	0.50
150	THOP1	thimet oligopeptidase 1	154440	3	1	0	1	1	0	0.0040	0.50
151	GPX6	glutathione peroxidase 6 (olfactory)	204229	3	0	0	1	1	1	0.0040	0.50
152	CHRM2	cholinergic receptor, muscarinic 2	470899	4	1	0	2	1	0	0.0040	0.50
153	OR10J3	olfactory receptor, family 10, subfamily J, member 3	339642	3	1	1	1	0	0	0.0041	0.50
154	WNT16	wingless-type MMTV integration site family, member 16	340361	3	0	1	0	0	2	0.0042	0.50
155	KIAA1324L	KIAA1324-like	802639	5	1	2	1	1	0	0.0042	0.50
156	OR5M11	olfactory receptor, family 5, subfamily M, member 11	270666	3	1	0	2	0	0	0.0042	0.50
157	EPDR1	ependymin related protein 1 (zebrafish)	210972	3	0	0	2	0	1	0.0043	0.50
158	DPP10	dipeptidyl-peptidase 10	826813	5	1	0	0	3	1	0.0043	0.50
159	VSTM2A	V-set and transmembrane domain containing 2A	130243	2	1	0	0	0	1	0.0043	0.50
160	SRC	v-src sarcoma (Schmidt-Ruppin A-2) viral oncogene homolog (avian)	406421	4	0	0	4	0	0	0.0043	0.50
161	CBLN4	cerebellin 4 precursor	178617	3	1	0	2	0	0	0.0043	0.50
162	HTR2C	5-hydroxytryptamine (serotonin) receptor 2C	461759	4	0	2	1	1	0	0.0044	0.50
163	HCN4	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	562695	5	0	1	2	2	0	0.0044	0.50
164	MYL4	myosin, light chain 4, alkali; atrial, embryonic	202400	3	1	0	1	1	0	0.0044	0.50
165	TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	439463	3	0	3	0	0	0	0.0044	0.50
166	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	1001549	6	1	1	0	3	1	0.0044	0.50
167	ADCY2	adenylate cyclase 2 (brain)	1096628	6	3	0	3	0	0	0.0044	0.50
168	NEK10	NIMA (never in mitosis gene a)- related kinase 10	620340	4	1	0	3	0	0	0.0045	0.50
169	OR5V1	olfactory receptor, family 5, subfamily V, member 1	330353	3	1	0	1	1	0	0.0045	0.50
170	PLXNB2	plexin B2	318262	4	1	0	3	0	0	0.0045	0.50
171	ASNA1	arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)	324615	3	2	0	0	0	1	0.0045	0.50
172	KIF2B	kinesin family member 2B	648743	5	1	0	3	0	1	0.0046	0.50
173	WIF1	WNT inhibitory factor 1	350129	3	0	0	0	1	2	0.0047	0.51
174	ZNF706	zinc finger protein 706	79526	2	0	0	1	0	1	0.0047	0.51
175	GPR141	G protein-coupled receptor 141	316521	3	1	1	0	1	0	0.0047	0.51
176	OR11G2	olfactory receptor, family 11, subfamily G, member 2	343984	3	1	0	1	0	1	0.0047	0.51
177	FBXW7	F-box and WD repeat domain containing 7	866820	4	2	1	0	0	1	0.0048	0.51
178	CSF2RA	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)	118649	2	1	0	0	0	1	0.0048	0.51
179	IL1F6	interleukin 1 family, member 6 (epsilon)	148346	2	1	1	0	0	0	0.0048	0.51
180	C6orf132	chromosome 6 open reading frame 132	18523	1	0	0	0	0	1	0.0048	0.51
181	FAM75A3	family with sequence similarity 75, member A3	422631	3	1	2	0	0	0	0.0049	0.51
182	TBX5	T-box 5	532440	4	1	0	0	3	0	0.0049	0.51
183	HIST1H1A	histone cluster 1, H1a	216126	3	0	1	2	0	0	0.0050	0.51
184	MICALL2	MICAL-like 2	58882	2	0	0	2	0	0	0.0050	0.51
185	LPAR4	lysophosphatidic acid receptor 4	369768	3	1	0	2	0	0	0.0050	0.51
186	MARCH2	membrane-associated ring finger (C3HC4) 2	214944	3	0	0	1	1	1	0.0050	0.51
187	ALG10B	asparagine-linked glycosylation 10 homolog B (yeast, alpha-1,2-glucosyltransferase)	441552	4	0	1	2	1	0	0.0051	0.51
188	YBX1	Y box binding protein 1	234037	3	0	0	3	0	0	0.0051	0.51
189	PAK3	p21 (CDKN1A)-activated kinase 3	612415	5	0	0	2	2	1	0.0051	0.51
190	G6PD	glucose-6-phosphate dehydrogenase	446369	4	0	2	2	0	0	0.0051	0.51
191	OR5F1	olfactory receptor, family 5, subfamily F, member 1	294138	3	1	0	2	0	0	0.0052	0.52
192	FAM163A		134753	2	0	0	0	2	0	0.0053	0.52
193	ZNF500	zinc finger protein 500	290848	3	1	0	0	2	0	0.0053	0.52
194	FBLN2	fibulin 2	575892	4	0	1	0	1	2	0.0053	0.52
195	ANKRD30A	ankyrin repeat domain 30A	956677	5	0	0	0	5	0	0.0054	0.52
196	OR10A7	olfactory receptor, family 10, subfamily A, member 7	326317	3	0	2	1	0	0	0.0055	0.53
197	RGS7	regulator of G-protein signaling 7	512746	4	1	1	0	2	0	0.0056	0.53
198	UTP14A	UTP14, U3 small nucleolar ribonucleoprotein, homolog A (yeast)	755059	4	0	0	0	1	3	0.0056	0.53
199	FAM83A	family with sequence similarity 83, member A	316822	3	2	1	0	0	0	0.0056	0.53
200	KRTAP19-4	keratin associated protein 19-4	86369	2	0	0	1	0	1	0.0056	0.53
201	ZDHHC19	zinc finger, DHHC-type containing 19	166334	2	0	2	0	0	0	0.0056	0.53
202	C11orf59	chromosome 11 open reading frame 59	128276	2	0	0	0	2	0	0.0057	0.53
203	FOXN4	forkhead box N4	278823	3	0	1	0	1	1	0.0057	0.53
204	CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	149695	2	0	0	0	2	0	0.0058	0.53
205	CA14	carbonic anhydrase XIV	364267	3	1	0	0	1	1	0.0058	0.53
206	FOXF1	forkhead box F1	114029	2	0	1	0	1	0	0.0058	0.53
207	FAHD1	fumarylacetoacetate hydrolase domain containing 1	139098	2	0	0	0	2	0	0.0058	0.53
208	LRP1B	low density lipoprotein-related protein 1B (deleted in tumors)	4781350	14	0	4	2	8	0	0.0059	0.53
209	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	157796	2	1	0	0	0	1	0.0059	0.53
210	ZNF208	zinc finger protein 208	991714	6	0	0	3	3	0	0.0059	0.53
211	TRIOBP	TRIO and F-actin binding protein	1288839	8	0	2	4	1	1	0.0059	0.53
212	BNC1	basonuclin 1	974099	5	2	1	2	0	0	0.0060	0.53
213	FAM24A	family with sequence similarity 24, member A	112334	2	0	0	0	2	0	0.0060	0.53
214	PLD5	phospholipase D family, member 5	440046	4	1	0	2	1	0	0.0060	0.53
215	HIST1H4H	histone cluster 1, H4h	103560	2	0	1	1	0	0	0.0060	0.53
216	FAM167B		86230	2	0	0	1	0	1	0.0060	0.53
217	OR2M2	olfactory receptor, family 2, subfamily M, member 2	352485	3	0	2	0	1	0	0.0061	0.53
218	ZNF236	zinc finger protein 236	1522626	7	0	2	1	1	3	0.0061	0.53
219	PDAP1	PDGFA associated protein 1	186691	2	0	0	0	0	2	0.0062	0.53
220	SIGLEC12	sialic acid binding Ig-like lectin 12	593877	5	1	1	2	1	0	0.0063	0.54
221	DLX2	distal-less homeobox 2	130448	2	0	0	0	1	1	0.0064	0.55
222	UBL4B	ubiquitin-like 4B	114605	2	0	0	0	1	1	0.0065	0.55
223	CYP4A11	cytochrome P450, family 4, subfamily A, polypeptide 11	503027	4	0	0	4	0	0	0.0066	0.55
224	PTGFR	prostaglandin F receptor (FP)	387864	3	1	0	1	0	1	0.0066	0.55
225	ARHGEF38		226626	3	0	0	2	1	0	0.0066	0.55
226	TRA2B		302042	3	0	0	0	2	1	0.0066	0.55
227	GAL3ST4	galactose-3-O-sulfotransferase 4	449787	4	0	0	3	0	1	0.0067	0.55
228	OR8U1	olfactory receptor, family 8, subfamily U, member 1	282151	3	0	1	2	0	0	0.0067	0.55
229	EOMES	eomesodermin homolog (Xenopus laevis)	443769	3	1	0	0	0	2	0.0067	0.55
230	PCDHB13	protocadherin beta 13	567537	5	2	0	2	1	0	0.0067	0.55
231	TINAG	tubulointerstitial nephritis antigen	496198	4	1	1	1	1	0	0.0068	0.55
232	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif, 14	997193	7	1	1	3	2	0	0.0070	0.57
233	CCDC39	coiled-coil domain containing 39	689603	5	0	0	1	3	1	0.0070	0.57
234	CNIH4	cornichon homolog 4 (Drosophila)	131494	2	0	1	1	0	0	0.0071	0.57
235	NR1H3	nuclear receptor subfamily 1, group H, member 3	435794	4	1	1	1	0	1	0.0071	0.57
236	TAS2R1	taste receptor, type 2, member 1	288746	3	0	0	2	0	1	0.0071	0.57
237	MTFMT	mitochondrial methionyl-tRNA formyltransferase	280996	3	0	1	2	0	0	0.0073	0.58
238	CHD4	chromodomain helicase DNA binding protein 4	1986965	8	0	2	6	0	0	0.0073	0.58
239	BOLL	bol, boule-like (Drosophila)	294270	3	0	0	0	2	1	0.0073	0.58
240	C16orf11	chromosome 16 open reading frame 11	6968	1	0	0	0	1	0	0.0073	0.58
241	PAGE2	P antigen family, member 2 (prostate associated)	107339	2	0	0	1	0	1	0.0074	0.58
242	NPPB	natriuretic peptide precursor B	124046	2	1	0	0	0	1	0.0075	0.58
243	IRS1	insulin receptor substrate 1	865888	6	0	2	2	1	1	0.0075	0.58
244	SLC25A29	solute carrier family 25, member 29	26713	1	0	0	0	0	1	0.0075	0.58
245	NCAN	neurocan	1032942	5	3	1	0	1	0	0.0075	0.58
246	IL13	interleukin 13	136749	2	0	0	0	2	0	0.0076	0.58
247	AKR1B1	aldo-keto reductase family 1, member B1 (aldose reductase)	325775	3	1	1	0	1	0	0.0076	0.58
248	ITK	IL2-inducible T-cell kinase	663759	5	0	1	3	1	0	0.0077	0.58
249	SPDYE4		28241	1	0	0	0	0	1	0.0078	0.59
250	RGS18	regulator of G-protein signaling 18	229410	2	1	0	1	0	0	0.0078	0.59
251	STXBP5L	syntaxin binding protein 5-like	1054899	6	0	0	1	4	1	0.0078	0.59
252	OR4F5	olfactory receptor, family 4, subfamily F, member 5	112578	2	0	1	0	1	0	0.0079	0.59
253	FRG2B	FSHD region gene 2 family, member B	152577	2	1	0	0	1	0	0.0079	0.59
254	ATG3	ATG3 autophagy related 3 homolog (S. cerevisiae)	306957	3	0	1	2	0	0	0.0079	0.59
255	DYX1C1	dyslexia susceptibility 1 candidate 1	404145	3	0	0	0	1	2	0.0081	0.60
256	KPRP	keratinocyte proline-rich protein	579054	3	3	0	0	0	0	0.0082	0.60
257	KBTBD7	kelch repeat and BTB (POZ) domain containing 7	570828	4	0	0	2	0	2	0.0082	0.60
258	C9orf72	chromosome 9 open reading frame 72	467203	4	0	0	1	2	1	0.0082	0.60
259	AATK	apoptosis-associated tyrosine kinase	28549	1	0	0	0	0	1	0.0082	0.60
260	SCEL	sciellin	701908	5	0	1	1	2	1	0.0083	0.60
261	FAM69C		100293	2	0	0	1	0	1	0.0083	0.60
262	TGIF1	TGFB-induced factor homeobox 1	356588	3	0	0	1	0	2	0.0084	0.60
263	LATS1	LATS, large tumor suppressor, homolog 1 (Drosophila)	1164845	5	2	0	2	0	1	0.0084	0.60
264	SPCS3	signal peptidase complex subunit 3 homolog (S. cerevisiae)	105794	2	0	0	0	2	0	0.0084	0.60
265	KCNJ1	potassium inwardly-rectifying channel, subfamily J, member 1	381542	3	1	0	0	1	1	0.0084	0.60
266	DUSP9	dual specificity phosphatase 9	166660	2	0	0	0	2	0	0.0085	0.60
267	C19orf47	chromosome 19 open reading frame 47	311448	3	0	2	1	0	0	0.0086	0.60
268	PURG	purine-rich element binding protein G	242007	3	0	0	1	1	1	0.0086	0.60
269	YOD1	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	279839	3	0	0	2	0	1	0.0086	0.60
270	ZFPM1	zinc finger protein, multitype 1	30352	1	0	0	0	0	1	0.0086	0.60
271	LHFPL4	lipoma HMGIC fusion partner-like 4	175043	2	0	0	0	2	0	0.0087	0.60
272	CYP7B1	cytochrome P450, family 7, subfamily B, polypeptide 1	458089	3	0	2	1	0	0	0.0087	0.60
273	ACRC	acidic repeat containing	631948	5	1	0	3	1	0	0.0087	0.60
274	C9orf116	chromosome 9 open reading frame 116	74662	2	0	0	1	1	0	0.0087	0.60
275	FABP3	fatty acid binding protein 3, muscle and heart (mammary-derived growth inhibitor)	144942	2	0	0	0	2	0	0.0088	0.61
276	C14orf115	chromosome 14 open reading frame 115	593863	4	2	1	0	0	1	0.0089	0.61
277	ODAM	odontogenic, ameloblast asssociated	269105	3	0	0	1	2	0	0.0090	0.61
278	BAI2	brain-specific angiogenesis inhibitor 2	870905	6	0	1	4	1	0	0.0090	0.61
279	CLEC18B		199051	2	2	0	0	0	0	0.0090	0.61
280	PGAP1	post-GPI attachment to proteins 1	934478	5	0	0	0	4	1	0.0091	0.61
281	MYO7B	myosin VIIB	1021193	6	1	0	1	2	2	0.0091	0.61
282	KIF4B	kinesin family member 4B	1042366	5	1	0	4	0	0	0.0091	0.61
283	CNGA3	cyclic nucleotide gated channel alpha 3	683719	5	1	1	3	0	0	0.0092	0.61
284	FOLH1B		360753	3	0	1	1	0	1	0.0093	0.62
